description,amount,date,category
INTERAC TDSB PAYROLL WOODSTOCK ONTARIO,29186.41,2025-12-29,Salary / Payroll
WESTJET SALARY:REC,23331.69,2025-02-28,Salary / Payroll
POS603385-PEOPLESTRUSTCANADA-290POBOX979,-35.38,2026-03-04,Bank Charges
E-TRANSFERBUSINESSGRANTINCOMEOMAN,2424.56,2025-01-30,Business or Freelance Income
EI EMPLOYMENT INSURANCE CANADA TXNID:3114924,485.55,2026-02-28,Government Support and Pensions
PAYMENT TO PAYPAL CANADA FOR March 2022,-178.11,2026-04-26,Other / Uncategorized
Transfer from Justice Canada,183.31,2026-03-29,Shopping & Retail
ONEDRIVECANADA*3084,-332.0,2026-04-07,Other / Uncategorized
PIZZA HUT OMANPOSCAMROSE,-250.22,2026-03-28,Dining and Cafes
MARRIOTT EDMONTON / OAK BAY,-1281.18,2026-03-19,Travel and Hotels
POS550466-thw-mothercareoman,-133.57,2026-02-14,Shopping & Retail
ONTARIO PUBLIC SERVICE PAY *6000,633.23,2025-03-30,Government Support and Pensions
THE STOCKYARDS TORONTO TXNID:9583231,-17.69,2026-03-18,Dining and Cafes
POS 399061-PEACOCK CANADA - 149 P O BOX 547,-32.64,2026-04-06,Entertainment and Leisure
www.fizzmobilecanada.com,-195.07,2026-03-27,Telecom
canada revenue agency gst trsf,-347.08,2026-02-21,Government Services
PAYMENTTOALADILTRADINGOMANFORApril2024,-118.93,2025-11-23,Home Goods and Furniture
POS TELUS INTERNET CANADA **3651,-116.5,2026-04-13,Telecom
EVOLVEETFSCANADAPOSCOCHRANEALBERTA,-1090.8,2026-02-08,Savings and Investments
POS586407-BADIALIPIZZA-814POBOX427,-126.29,2025-11-10,Dining and Cafes
IRVING OIL CANADA / TRURO,-229.67,2026-01-09,Fuel and Transport
palettelivingcanadaWOODSTOCK ONTARIO,-33.02,2026-03-23,Home Goods and Furniture
PUR-DAVIDSUZ,-9802.02,2026-02-06,Charity Donations
WAL Cr9718991032211 BM,-38.44,2025-11-20,Entertainment and Leisure
POS 842479-HEART STROKE FOUNDATION CANADA - 601 P O BOX 188,-9788.37,2026-02-26,Charity Donations
WALCr3724346080891BM,-49.92,2026-02-05,Entertainment and Leisure
INTERAC JDRF CANADA DRUMMONDVILLE,-4739.93,2026-02-09,Charity Donations
ATM Cash Withdrw Alizz Islamic Financing 822114 00:46:39,-16565.89,2026-05-06,Loan Payments
www.pcfinancial.com,-231.51,2025-12-09,Bank Charges
ALTA WEST MORTGAGE CANADA_53896,-689.08,2025-12-07,Loan Payments
SASKATCHEWANSTUDENTLOAN_BAN,-11389.52,2026-01-08,Loan Payments
BCTRA_35,-3027.61,2025-12-04,Vehicle Loans and Fines
PHARMASAVECANADALLC,-3305.29,2026-01-15,Medical and Health
RECEIPT ZIPCAR OMAN CHATHAM ONTARIO,-36775.69,2026-01-27,Fuel and Transport
ATM Cash DEP Digistore24 Canada 891159,4137.74,2025-01-29,Business or Freelance Income
RECEIVED_FROM_University_of_Saskatchewan,10864.57,2026-04-28,Education
MOVEMBER CANADA / KELOWNA,-9783.91,2026-04-09,Charity Donations
cityofvancouverservicesNEW WESTMINSTER,-350.32,2025-11-02,Government Services
MAXI QUEBEC_GUE,-115.22,2026-02-05,Groceries
OABBUSINESSLOAN2104,-13212.7,2026-04-03,Loan Payments
Transfer from Amnesty International Canada,9956.32,2025-11-29,Charity Donations
Magical Credit Canada Trnsfr,5815.71,2026-02-28,Loan Payments
PAYMENTTOARMEDFORCESPENSIONOMANFORMarch2024,947.94,2026-05-28,Government Support and Pensions
Wallet Trx 2988256935007 HABIB BANK OMAN,-397.63,2026-04-26,Bank Charges
HSBC CANADA PAYMENT,-344.71,2026-02-03,Bank Charges
BANKDHOFARCARFINANCE*7574,-4072.05,2026-05-05,Loan Payments
POS TOPTAL INCOME **6122,4804.15,2026-11-30,Business or Freelance Income
Teachable Canada Store #909,3690.43,2026-12-28,Business or Freelance Income
LACOSTE OMAN / PITT MEADOWS,-452.62,2026-02-03,Shopping & Retail
TransferfromHSBCCanadaMortgage,-14594.77,2026-05-01,Loan Payments
Petromin Express Trnsfr,27280.41,2026-11-29,Fuel and Transport
TRFCPPSURVIVORBENEFITCANADA,112.59,2026-02-28,Government Support and Pensions
HOKA CANADA_HAW,-47.72,2026-05-05,Shopping & Retail
MiniMartOman-payment,-221.33,2026-02-10,Groceries
txn CITY OF EDMONTON SERVICES,-552.12,2026-04-21,Government Services
bc income assistance debit,824.79,2026-12-30,Government Support and Pensions
InlinguaLanguageSchoolCanadaStore#734,-13563.28,2025-12-12,Education
MASTERCARD MEETHAQ ISLAMIC BANKING *1933,-400.55,2026-03-07,Bank Charges
al meera home debit,-339.72,2026-01-24,Home Goods and Furniture
OMAN AQUARIUM 1709,-40.45,2026-03-10,Entertainment and Leisure
ONLINEPURCHASEFIVERRINCOME,3119.55,2026-03-30,Business or Freelance Income
WAL Cr9323845453233 BM,-327.13,2026-04-08,Savings and Investments
ATM Cash Withdrw Al Falah Market 803346 19:26:36,-120.67,2026-03-17,Groceries
IBRIR_98,-461.65,2026-04-13,Rent Payments
BOUCLAIRCANADASAOG,-34.47,2026-05-02,Home Goods and Furniture
GOLDEN SANDS LEASING:REC,-658.01,2026-01-09,Rent Payments
WAL Cr2499530439525 BM,-7725.52,2026-02-05,Charity Donations
RECEIVED_FROM_Dynamite_Clothing,170.01,2026-12-30,Shopping & Retail
TORONTO WESTERN HOSPITAL#5685,-526.03,2025-11-05,Medical and Health
HERTZ CANADA_51285,-31191.45,2026-05-07,Fuel and Transport
ATMCashDEPAhliBankHomeLoan172908,-14470.69,2026-02-01,Loan Payments
PUR-RESIDENC,-8.65,2026-05-03,Government Services
irccimmigrationcanadapayment,-758.58,2026-04-18,Government Services
INTERAC SPRING FINANCIAL CANADA SUR,-7835.95,2026-04-23,Loan Payments
OMANAUTOMOBILESERVICESSERVICECHARGE,-17894.59,2025-12-23,Fuel and Transport
TRF TO UBER,-47347.89,2025-12-09,Fuel and Transport
MASTERCARDRONACANADA*9645,-274.92,2026-03-13,Home Goods and Furniture
TD MORTGAGE PAYMENT / STOUFFVILLE,-6071.72,2025-12-27,Loan Payments
@telusinternetcanada,-63.84,2025-12-10,Telecom
ACCESS CREDIT UNION CARD*2112,141.0,2026-01-29,Bank Charges
TransferfromIntercomCanada,-326.99,2026-02-27,Other / Uncategorized
RECEIPT EMIRATES NBD OMAN HAMRIYA,-464.37,2026-03-07,Bank Charges
ATM Cash Withdrw SPAR Oman 390607 09:17:27,-229.55,2025-12-22,Groceries
RogersPayrollCanadaTrnsfr,38201.46,2025-04-28,Salary / Payroll
RECEIPTMUSCATMUNICIPALITYPARKINGFINESEEB,-1914.82,2025-12-03,Vehicle Loans and Fines
ALAINALAHLIAINSURANCE:TRF,-567.36,2026-03-08,Insurance
www.tgifridaysoman.com,-10.35,2025-11-05,Dining and Cafes
MASTERCARD RONA CANADA *1288,-193.7,2026-03-02,Home Goods and Furniture
POS 603040-NATIONAL BANK PERSONAL LOAN - 225 P O BOX 740,-2696.33,2026-03-03,Loan Payments
RECEIVED_FROM_National_Programme_Volunteer_Oman,6759.74,2026-03-29,Charity Donations
FRANKLIN TEMPLETON CANADA *9702,-1079.37,2025-11-12,Savings and Investments
POS CENTURY 21 CANADA **6876,-139.62,2026-03-15,Rent Payments
POS PURCHASE OULTON COLLEGE CANADA Oct 19,-14568.54,2026-02-04,Education
ATM Cash Withdrw Edvance Education 108553 11:57:46,-3507.82,2026-04-08,Education
HEARTSTROKEFOUNDATIONCANADAPOSORLEANSONTARIO,-2560.78,2025-11-28,Charity Donations
www.eiparentalbenefitcanada.com,341.4,2026-04-28,Government Support and Pensions
SUREX CANADA LTD,-445.59,2026-01-05,Insurance
COTTON ON OMAN 2005,-433.89,2026-03-16,Shopping & Retail
OMAN OIL SALARY / QURUM,10287.04,2026-03-28,Salary / Payroll
POS 938741-CIBC LINE OF CREDIT CANADA - 988 P O BOX 628,16856.05,2026-01-29,Loan Payments
WalletTrx9053941683414DISABLEDCHILDRENASSOCIATIONOMAN,-9543.97,2025-12-21,Charity Donations
MASTERCARD ALT HOTEL CALGARY *4848,-2404.88,2026-01-25,Travel and Hotels
BarkaMarketx4330,-54.9,2026-04-06,Groceries
Transfer from Prep Academy Canada,3346.6,2026-01-29,Education
VISA DEBIT IT SUPPORT OMAN PRI,-520.14,2026-03-04,Other / Uncategorized
OMAN INVESTMENT AUTHORITY OIA 2809,-1603.28,2026-03-03,Savings and Investments
PANPACIFICVANCOUVER/BRANTFORD,-4546.15,2026-02-25,Travel and Hotels
awasr oman fiber debit,-169.64,2026-01-02,Telecom
TRF BARR AL JISSAH RESORT,-1208.41,2026-01-06,Travel and Hotels
YOUTUBEREVENUE:REC,511.62,2026-03-28,Business or Freelance Income
@philippineschoolmuscat,-8723.68,2026-02-20,Education
RECEIVED_FROM_La_Capitale_Insurance_Canada,426.03,2025-12-30,Insurance
COFFEELOGYOMAN:PAY,-152.55,2025-12-04,Dining and Cafes
RECEIPT CIBC SALARY DEPOSIT THUMRAIT,10031.31,2026-04-30,Salary / Payroll
ONLINEPURCHASEFREELANCER.COMPAYMENT,2160.17,2026-05-28,Business or Freelance Income
RECEIPT UKG PAYROLL CANADA WINNIPEG,18905.37,2026-02-28,Salary / Payroll
PUR-MERIDIAN,9265.14,2026-12-30,Salary / Payroll
TRF TO PEACOCK CANADA,-18.05,2026-03-09,Entertainment and Leisure
MARBLEFINANCIALCANADA/BIDIYA,-1891.39,2026-02-21,Loan Payments
ATM Cash DEP DUCA RRSP 716707,-1369.29,2026-02-10,Savings and Investments
Rogers Device Protection Trnsfr,64.5,2026-04-29,Telecom
AL RAWDA FURNITUREPOSSHERWOOD PARK,-275.89,2026-05-17,Home Goods and Furniture
salesforceomanMONTREAL,-45.67,2026-04-10,Other / Uncategorized
ONLINE PURCHASE CANADIAN CANCER SOCIETY,-717.68,2026-04-05,Charity Donations
Academy of Learning Canada Trnsfr,1638.11,2026-12-30,Education
txn PLANTA TORONTO,-212.74,2026-04-03,Dining and Cafes
WALCr3499512883699BM,-118.01,2026-03-07,Telecom
PAYMENTTODUCARRSPFOROctober2021,-634.28,2026-03-08,Savings and Investments
palettelivingcanadaSUMMERSIDE,-221.89,2025-11-28,Home Goods and Furniture
ATM Cash Withdrw Journalists Human Rights Canada 371408 11:48:50,-9809.88,2026-02-05,Charity Donations
ATM Cash Withdrw Canada Pension Plan CPP 367046 07:46:19,963.58,2025-04-29,Government Support and Pensions
INTERAC SCOTIABANK INSURANCE CANADA NEW GLASGOW,-666.13,2026-03-03,Insurance
onedrivecanadaBARKA,-710.62,2026-01-06,Other / Uncategorized
PAYMENT TO ZARA HOME OMAN FOR February 2021,-247.85,2026-01-03,Home Goods and Furniture
ATMCashDEPGooglePlayCanada183820,-81.04,2025-11-08,Entertainment and Leisure
bawshar mall stores trsf,-415.58,2026-02-05,Shopping & Retail
RECEIPT CONCERT PROPERTIES CANADA CHICOUTIMI,-402.46,2026-01-27,Rent Payments
WORLD VISION CANADA_30146,-2351.78,2026-01-12,Charity Donations
RECEIPT AL WAFA PHARMACY GRANBY,-1504.83,2025-12-18,Medical and Health
TRF TO ROYAL OPERA HOUSE MUSCAT,-16.72,2026-02-12,Entertainment and Leisure
QURM PETROL STATION TXNID:5373310,-1301.53,2026-03-10,Fuel and Transport
AMERICAN LYCEUM INTERNATIONAL SCHOOL / SEEB,-12412.84,2025-12-06,Education
ONTARIO TRILLIUM BENEFIT#2457,577.11,2026-01-30,Government Support and Pensions
E-TRANSFER MARCIL CANADA,-197.96,2026-01-06,Home Goods and Furniture
POS ONTARIO PLACE TORONTO **6248,-79.58,2025-12-08,Entertainment and Leisure
Payment:GREAT GULF HOMES CANADA,-408.96,2025-12-15,Rent Payments
@mohawkcollege,-963.97,2026-03-18,Education
WINDSORPLYWOODCANADAPAYMENT,-109.0,2025-11-10,Home Goods and Furniture
PearlCoastResidencex9384,-1492.45,2026-04-21,Rent Payments
ONTARIOPUBLICSERVICEPAYSERVICECHARGE,435.34,2025-01-30,Government Support and Pensions
@agipoman,-20782.71,2026-03-28,Fuel and Transport
POSPURCHASENATIVEWOMEN'SRESOURCECENTRECANADAApr11,-8550.92,2025-12-07,Charity Donations
@bullfrogpowercanada,-126.1,2026-02-18,Housing and Utilities
tdrrspcontributionWADIADAI,-1806.35,2026-01-04,Savings and Investments
@hamiltonwaterutility,-152.99,2026-01-08,Housing and Utilities
TRF HAZELVIEW PROPERTIES,-1363.14,2026-02-05,Rent Payments
INTERAC EDMONTON FOLK MUSIC FESTIVAL COQUITLAM,-56.17,2026-03-09,Entertainment and Leisure
@start.cacanada,-186.4,2026-04-02,Telecom
ONLINE PURCHASE FIVERR INCOME,3925.72,2026-12-29,Business or Freelance Income
Rent Payment Vancouver Store #607,-208.61,2025-12-08,Rent Payments
TRF RBC PAYROLL CANADA,30180.8,2026-12-29,Salary / Payroll
CIBCINSURANCECANADAPOSBURNABY,-697.76,2026-02-13,Insurance
VISA DEBIT CARREFOUR EXPRESS WHI,-170.19,2026-03-08,Groceries
Rbc Home Equity Canada Store #683,-8994.87,2026-01-01,Loan Payments
Transfer from Swiss-Belhotel Muscat,105.23,2025-05-30,Travel and Hotels
BURJEEL HOSPITAL OMAN_SAR,-308.68,2026-03-01,Medical and Health
ATM Cash DEP Cooperative de gaz Quebec 587940,-206.71,2026-04-22,Housing and Utilities
POSLANGARACOLLEGEBC**3948,-12590.58,2026-02-06,Education
TOPTAL INCOME *9878,1028.45,2025-04-29,Business or Freelance Income
SECOND CUP TXNID:6943453,-54.16,2026-03-21,Dining and Cafes
OMAN AIR SALARY:TRF,22322.41,2026-02-28,Salary / Payroll
OMAN TELECOM SALARY_89745,8468.95,2026-04-30,Salary / Payroll
WAL Cr5026881485096 BM,31842.24,2026-12-28,Salary / Payroll
POS UNITED FINANCE INSURANCE **7440,-513.81,2026-04-28,Insurance
Payment:NATIONAL UNIVERSITY SCIENCE TECHNOLOGY OMAN,-9480.77,2026-01-01,Education
VIRTUAL BROKERS CANADA *4770,-1266.62,2026-04-06,Savings and Investments
ACCESS CREDIT UNION TXNID:5410086,431.74,2026-05-29,Bank Charges
PEACOCK CANADA *9595,-12.99,2026-05-08,Entertainment and Leisure
POSPURCHASEMOMLICENSINGOMANNov26,-115.02,2026-01-05,Government Services
CITYOFCALGARYSERVICES_GEO,-657.28,2025-11-04,Government Services
MUMBAI PALACE OMAN CARD*8297,-47.03,2026-03-10,Dining and Cafes
@salalahhospital,-4851.94,2026-01-13,Medical and Health
Highway400IncidentCanadaTrnsfr,7528.44,2026-01-29,Vehicle Loans and Fines
TRF PAYLOCITY,30708.96,2025-05-28,Salary / Payroll
PUR-SAFPENSI,296.02,2026-12-29,Government Support and Pensions
WALCr5082211838306BM,-1268.74,2026-05-05,Medical and Health
BCIT British Columbia Trnsfr,7284.27,2025-04-28,Education
MuscatTrafficFinex2804,-13035.96,2025-12-14,Vehicle Loans and Fines
@hondaserviceoman,-4220.6,2026-01-04,Fuel and Transport
ALTERNA SAVINGS GIC#1138,-962.46,2026-01-06,Savings and Investments
TRF TO LIGHTSPEED CANADA,-927.61,2026-04-08,Other / Uncategorized
ATM Cash DEP World Vision Canada 908106,-4660.26,2025-11-07,Charity Donations
TRF CANADIAN ENVIRONMENTAL LAW ASSOCIATION,-1758.64,2026-05-06,Charity Donations
nikeomanpayment,-288.29,2025-12-05,Shopping & Retail
PUR-RABBAFIN,-161.45,2026-04-01,Groceries
RECEIVED_FROM_Al_Meera,110.87,2026-11-28,Groceries
ARTHRITIS SOCIETY CANADA / TROIS-RIVIERES,-1439.9,2025-12-04,Charity Donations
POS986681-thw-toptalincome,4961.95,2026-03-30,Business or Freelance Income
www.tdpayrolldirectdeposit.com,9611.88,2026-01-30,Salary / Payroll
cityofottawaparkingREGINA,-34209.78,2025-12-05,Fuel and Transport
REGISTEREDDISABILITYSAVINGSPLANRDSPCARD*1311,479.13,2025-03-29,Government Support and Pensions
txn NEW BRUNSWICK SOCIAL ASSISTANCE,914.25,2026-03-29,Government Support and Pensions
TRF TO RBC INSURANCE CANADA,-694.43,2026-02-01,Insurance
PAYMENTTOKITCHENSTUFFPLUSCANADAFORJune2023,-89.89,2026-02-25,Home Goods and Furniture
MASTERCARDSPOTIFYCANADASUB*4460,-239.75,2026-01-04,Other / Uncategorized
ALMADAGASPOSCAMBRIDGEONTARIO,-191.45,2025-12-05,Housing and Utilities
ATM Cash Withdrw Dawa Pharmacy Oman 210002 22:27:01,-2469.4,2026-04-01,Medical and Health
Wallet Trx 7224065156477 BAHLA PETROL STATION,-46111.06,2025-12-01,Fuel and Transport
MASTERCARD AIR CANADA PAYROLL *4853,36422.56,2026-02-28,Salary / Payroll
RbcRoyalBankStore#78,-63.5,2025-12-05,Bank Charges
RECEIPT BANK MUSCAT MONTHLY SALARY GHALA,7201.15,2026-05-30,Salary / Payroll
OMANROADFUND3003,-12893.42,2026-05-19,Vehicle Loans and Fines
POLICE PENSION OMAN INC,239.37,2025-01-28,Government Support and Pensions
RECEIPTQUESTRADECANADASYDNEYNOVASCOTIA,-1777.95,2026-03-03,Savings and Investments
PAYMENT TO 407 ETR TOLL FOR April 2020,-47653.26,2026-04-10,Fuel and Transport
POS 215152-thw-winnipegfolkfestival,-68.82,2026-01-02,Entertainment and Leisure
ONLINE PURCHASE ROYAL OMAN POLICE FINE,-12280.1,2026-03-22,Vehicle Loans and Fines
OMAND_63,-304.15,2026-01-01,Other / Uncategorized
Transfer from E-Transfer Income,2342.35,2026-04-28,Business or Freelance Income
ATM Cash DEP Disabled Children Association Oman 899987,-8827.77,2026-05-03,Charity Donations
CREDENTIAL DIRECT CANADA_12302,-1866.91,2026-05-08,Savings and Investments
www.alrahmamedicalcenter.com,-4235.57,2025-12-27,Medical and Health
PUR-ALKHUWAI,-26674.31,2026-04-04,Fuel and Transport
SRINATH RESTAURANT TXNID:7119652,-138.2,2026-01-02,Dining and Cafes
RECEIPT EVERY PLATE CANADA ESQUIMALT,-249.46,2025-11-08,Other / Uncategorized
PAYMENT TO BAMBOOHR PAYROLL FOR April 2019,11646.75,2025-03-30,Salary / Payroll
POSPURCHASEALHAILMARKETMar27,-188.72,2026-02-07,Groceries
TRF IMAGINE CINEMAS CANADA,-19.42,2026-02-05,Entertainment and Leisure
ATMCashWithdrwSocialAssistanceOntario39407920:52:44,685.03,2026-03-30,Government Support and Pensions
RECEIVED_FROM_Red_Cross_Canada,4806.13,2025-02-28,Charity Donations
MINISTRY OF LABOUR ONTARIO SERVICE CHARGE,-738.83,2026-05-10,Government Services
WAL Cr1515466104593 BM,-10169.44,2026-04-08,Loan Payments
GOETHE-INSTITUTOMAN1509,-659.21,2026-01-13,Education
AL YOUSUF ELECTRONICS TXNID:6241995,-192.14,2026-04-08,Shopping & Retail
Transfer from Robo-Advisor Canada,1703.55,2026-04-28,Savings and Investments
City of Edmonton Services x9851,-272.97,2025-11-22,Government Services
ServiceOntarioTrnsfr,682.4,2026-02-28,Government Services
INTERAC MINISTRY OF COMMERCE AND INDUSTRY OMAN ST. ALBERT,-382.22,2026-03-03,Government Services
www.pacificdentalservices.com,-2108.84,2026-03-27,Medical and Health
HYATT REGENCY VANCOUVER PAYMENT,-589.21,2026-04-05,Travel and Hotels
WALCr1850482701298BM,-7238.95,2026-02-06,Fuel and Transport
txn ROCKPORT CANADA,-499.89,2026-02-02,Shopping & Retail
E-TRANSFER TD LINE OF CREDIT,18040.1,2025-11-28,Loan Payments
ATM Cash DEP Le Germain Montreal 795487,-918.11,2025-12-10,Travel and Hotels
ONTARIO TELEMEDICINE NETWORK_87340,-4771.28,2026-04-03,Medical and Health
POSPURCHASEBRAMPTONFOODBANKSep11,-225.12,2025-12-06,Charity Donations
VISADEBITFAIRMONTCHATEAULAKELOUISEBUR,-2635.74,2025-12-04,Travel and Hotels
@budgetcarrentaloman,-47344.89,2026-05-10,Fuel and Transport
DESJA_90,-396.14,2026-01-14,Bank Charges
INTERAC IRISHMAN WETASKIWIN,-214.61,2026-02-11,Dining and Cafes
MAZAYASUPERMARKET2502,-72.5,2026-04-01,Groceries
Payment:NORTHERN LIGHTS CREDIT UNION,2.88,2025-12-30,Bank Charges
RECEIVED_FROM_Tile_Land_Oman,365.06,2026-02-28,Home Goods and Furniture
RECEIPT AON CANADA BIDIYA,-734.68,2026-03-11,Insurance
RECEIVED_FROM_Al_Khair_Society_Oman,1568.78,2026-12-29,Charity Donations
TRF TO TENNIS SWIM CANADA,-206.65,2025-12-07,Shopping & Retail
FAMILYSUPERMARKETPAYMENT,-37.49,2026-04-13,Groceries
Hilton Salalah Resort x7686,-102.54,2026-01-15,Travel and Hotels
OC TRANSPO OTTAWA 0407,-12151.82,2026-02-28,Fuel and Transport
MASTERCARD MEDICINE HAT COLLEGE ALBERTA *2279,-10298.62,2026-01-09,Education
POSPURCHASESCOTIABANKDIRECTDEPOSITOct23,13400.19,2026-05-30,Salary / Payroll
CAMOSUN COLLEGE BC PAYMENT,-6745.33,2026-01-25,Education
TRF TO TRIVAGO OMAN,-2598.6,2026-02-27,Travel and Hotels
Peoples Trust GIC - payment,-1504.31,2026-01-24,Savings and Investments
BOUCLAIRCANADA:TRF,-258.5,2026-04-21,Home Goods and Furniture
TRF CAPITAL MARKET AUTHORITY OMAN,-663.98,2025-12-09,Government Services
Nmc Specialty Hospital Store #25,-2017.96,2025-12-03,Medical and Health
VISA DEBIT BROKERLINK INSURANCE CANADA GAN,-714.34,2026-03-03,Insurance
@vancouverinternationalfilmfestival,-60.35,2026-01-02,Entertainment and Leisure
txn HSBC OMAN,-265.49,2026-03-09,Bank Charges
txn CENTURY 21 OMAN,-1539.86,2026-03-09,Rent Payments
VISA DEBIT SAFFRON LOUNGE TRU,-55.22,2026-02-08,Dining and Cafes
E-TRANSFER CANADA EDUCATION SAVINGS GRANT CESG,780.86,2026-03-29,Government Support and Pensions
Make-A-Wish Canada Trnsfr,1160.48,2026-02-28,Charity Donations
WalletTrx9404202276785PEISTUDENTLOAN,-9795.66,2026-03-02,Loan Payments
txn AVANTI PAYROLL CANADA,15569.97,2025-01-28,Salary / Payroll
kronos payroll crd,39453.94,2026-02-28,Salary / Payroll
EMIRATES INSURANCE OMAN 1501,-190.27,2026-02-05,Insurance
txnE-TRANSFERINCOME,6023.18,2025-02-28,Business or Freelance Income
E-TRANSFERSHABABEEKRESTAURANT,-31.63,2026-01-04,Dining and Cafes
TRFCURTAINWORLDOMAN,-28.41,2025-12-21,Home Goods and Furniture
txn BMO INVESTORLINE,-354.59,2026-04-01,Savings and Investments
txn FOUR SEASONS VANCOUVER,-4739.89,2026-05-08,Travel and Hotels
GIC INVESTMENT TD PAYMENT,-722.65,2026-01-08,Savings and Investments
POS305646-UKGPAYROLLCANADA-583POBOX162,29157.47,2025-01-29,Salary / Payroll
KAJABICANADA/JALANBANIBUHASSAN,2149.52,2026-05-29,Business or Freelance Income
AGFINVESTMENTSCANADATXNID:3848293,-1434.57,2026-03-04,Savings and Investments
PUR-SALALAHP,-11.46,2026-02-13,Government Services
VISADEBITCHAPTERSCANADASTO,-315.78,2026-01-04,Shopping & Retail
BANK DHOFAR SALARY PAYMENT,21127.14,2026-01-30,Salary / Payroll
E-TRANSFERCAFETERATORONTO,-120.15,2026-02-06,Dining and Cafes
fasgascanadadebit,-14165.46,2026-02-17,Fuel and Transport
RECEIPT CANADA PENSION PLAN CPP OTTAWA,944.58,2025-03-30,Government Support and Pensions
PAYMENT TO MINTO APARTMENTS CANADA FOR August 2021,-2377.28,2026-03-22,Rent Payments
PAYMENT TO ONTARIO HIGHWAY FINE FOR October 2023,-440.84,2026-03-05,Vehicle Loans and Fines
MOGO LOAN CANADA TXNID:4275623,-18449.6,2026-01-20,Loan Payments
E-TRANSFER CI FINANCIAL CANADA,-937.33,2026-01-07,Savings and Investments
TRF DESJARDINS RRSP,-1353.75,2026-03-13,Savings and Investments
txn UDEMY COURSE CANADA,-944.99,2026-02-01,Other / Uncategorized
ATMCashDEPInternationalWireCanada614604,-305.99,2025-12-10,Bank Charges
POS 574088-thw-muscatmunicipality,-423.72,2026-03-28,Government Services
PAYMENT TO HERZING COLLEGE CANADA FOR January 2019,-6490.05,2025-12-28,Education
INTERAC QURM PETROL STATION THUNDER BAY,-17993.84,2025-11-06,Fuel and Transport
TRF TO AXIOM ACCESSORIES OMAN,-82.76,2025-12-10,Other / Uncategorized
CorasBreakfastCanadaStore#471,-46.51,2026-03-25,Dining and Cafes
XOOMC_43,-60.56,2026-01-01,Other / Uncategorized
RBC AUTOLOAN PAYMENT CARD*2685,-6685.86,2026-05-16,Vehicle Loans and Fines
VISADEBITLAURENTIANBANKMORTGAGEGAN,-16996.95,2026-01-02,Loan Payments
PUR-KUMONOMA,-6357.36,2026-02-10,Education
Ottawa Public Library x3704,-1.67,2025-12-25,Government Services
AL MADINA TAKAFUL 1010,-194.01,2025-11-20,Insurance
POS554812-thw-cluttonsoman,-1453.09,2026-03-09,Rent Payments
upworkpaymentTROIS-RIVIERES,1499.48,2026-01-30,Business or Freelance Income
TRF ENDY MATTRESS CANADA,-241.26,2026-04-14,Home Goods and Furniture
UNIVERSITYOFSASKATCHEWAN:PAY,-789.41,2025-11-04,Education
niagarafallsadventureWESTVANCOUVER,-81.2,2026-03-02,Entertainment and Leisure
E-TRANSFERMUSCATMUNICIPALITYPARKINGFINE,-4195.4,2026-01-06,Vehicle Loans and Fines
INTERACJUSTWEALTHCANADAMISSIONBC,-865.0,2025-11-02,Savings and Investments
POS NAYOMI HOME OMAN **9445,-180.81,2026-01-27,Home Goods and Furniture
SERVICEALBERTA_21836,-598.31,2026-02-04,Government Services
FAHMY FURNITURE CARD*4815,-414.05,2026-02-16,Home Goods and Furniture
MAJAN ELECTRICITY 1511,-247.46,2026-01-04,Housing and Utilities
PUR-MUSCATTA,-26507.93,2026-03-22,Fuel and Transport
BADIALIPIZZAPOSTHUMRAIT,-289.0,2025-12-28,Dining and Cafes
ATM Cash DEP Dayforce Payroll Canada 645601,35267.4,2026-03-30,Salary / Payroll
AL RAFFD FUND INCOME OMAN TXNID:3252037,5266.33,2026-03-28,Business or Freelance Income
PAYMENTTOEXOTIKJOURNEYSCANADAFORJuly2023,-3120.73,2025-11-09,Travel and Hotels
Payment:THE STOCKYARDS TORONTO,-251.41,2026-01-09,Dining and Cafes
@shareasalecanada,5681.35,2026-04-30,Business or Freelance Income
MTS ALLSTREAM CANADA SERVICE CHARGE,-135.72,2026-01-16,Telecom
POS BAHLA PETROL STATION **5273,-35321.37,2026-01-09,Fuel and Transport
PAYMENT TO FRANKLIN TEMPLETON CANADA FOR March 2022,-802.92,2026-02-09,Savings and Investments
britishcolumbiapublicservicepayCORNWALLONTARIO,934.84,2026-05-30,Government Support and Pensions
WAL Cr9477684246199 BM,-338.49,2025-12-06,Bank Charges
ATM Cash Withdrw Gazifere Quebec 863137 07:33:20,-271.06,2025-12-07,Housing and Utilities
SPICEROUTE_24305,-251.71,2026-02-28,Dining and Cafes
Wallet Trx 1136599066582 OMAN ASSOCIATION DISABLED,-9294.13,2026-01-21,Charity Donations
PAYMENT TO NESTWEALTH CANADA FOR October 2024,-1379.33,2026-03-21,Savings and Investments
QUICKBOOKS PAYROLL CANADA 2212,35010.9,2025-05-28,Salary / Payroll
PUR-REDTAG,-161.55,2026-02-18,Shopping & Retail
POS PURCHASE DESJARDINS SALARY Feb 14,38234.74,2026-03-29,Salary / Payroll
TORONTO HARBOURFRONT / CAMBRIDGE ONTARIO,-65.17,2026-02-04,Entertainment and Leisure
FOODSHARETORONTOPOSALKHUWAIR,-378.58,2025-12-28,Charity Donations
NORTHERNONTARIOCREDITUNIONTXNID:7607210,458.31,2025-05-28,Bank Charges
